customer_id,customer_name,currency_id,currency_code,current,days_1-15,days_16-30,days_31-45,days_above-45,total,fcy_total,contact.CF.SALESMAN,contact.CF.ROUTE,contact.CF.ROUTE DAY
4035182000000180207,"Prudhvi Auto Mobiles, Airbypass- HERO",4035182000000000099,INR,0.00,0.00,0.00,0.00,12209.80,12209.80,12209.80,NETHAJI,TIRUPATI,MONDAY
4035182000026597003,"Prudhvi Auto Mobiles, Airbypass- HERO ( NEW), TIRUPATI",4035182000000000099,INR,0.00,0.00,0.00,0.00,15631.00,15631.00,15631.00,VINOD,TIRUPATI,FRIDAY
4035182000000180295,PUSHPIT STEELS PRIVATE LIMITED,4035182000000000099,INR,0.00,0.00,0.00,0.00,36427.00,36427.00,36427.00,SUJAY,SRIKALAHASTHI,MONDAY
4035182000029814619,PVR AUTOMOBILES - VARADAIAHPALEM,4035182000000000099,INR,0.00,3780.00,0.00,0.00,0.00,3780.00,3780.00,VINOD,VARADAYAPALEM,WEDNESDAY
4035182000000180378,"R.K Hyundai,Tpt",4035182000000000099,INR,0.00,0.00,0.00,0.00,3250.00,3250.00,3250.00,SURESH SIR,TIRUPATI,MONDAY
4035182000000180466,"R.K.ENTERPRISES, TPT - Yamaha TW",4035182000000000099,INR,0.00,7444.00,11771.00,0.00,25140.00,44355.00,44355.00,VINOD,TIRUPATI,FRIDAY
4035182000000180554,"R.K.Enterprises,APE S/R, TPT",4035182000000000099,INR,0.00,0.00,0.00,0.00,800.00,800.00,800.00,SHAHEEN,TIRUPATI,MONDAY
4035182000000238609,"R.R Automobiles,Palamaner",4035182000000000099,INR,0.00,0.00,0.00,0.00,1400.00,1400.00,1400.00,CHIRANJEEVI,PALAMANER,MONDAY
4035182000000180637,"Rafi Cycle Shop, Papanaidupet",4035182000000000099,INR,0.00,10159.00,80.00,4731.00,0.00,14970.00,14970.00,NETHAJI,PAPANAIDUPETA,SATURDAY
4035182000000180720,"Raghavendra  Tyres  , MPL",4035182000000000099,INR,0.00,0.00,0.00,0.00,9054.00,9054.00,9054.00,RAJESH,MADANAPALLE,THURSDAY
4035182000000808067,Raghavendra Hydrolics Tpt,4035182000000000099,INR,0.00,0.00,0.00,0.00,53100.00,53100.00,53100.00,VINOD,TIRUPATI,TUESDAY
4035182000000180803,Ragova Developers  & Auto Services Pvt Ltd- BAJAJ,4035182000000000099,INR,0.00,16732.00,0.41,0.00,0.00,16732.41,16732.41,SUJAY,TIRUPATI,MONDAY
4035182000000181147,Raj Tyre World,4035182000000000099,INR,0.00,0.00,0.00,0.00,79004.00,79004.00,79004.00,SRINIVAS,TIRUPATI,MONDAY
4035182000000238670,RAJESH KUMAR TYRES BAIREDDYPALLI,4035182000000000099,INR,0.00,7913.00,0.00,0.00,0.00,7913.00,7913.00,CHIRANJEEVI,BAIREDDYPALLI,SATURDAY
4035182000000181235,Rajeswari Cycle & Auto Spares Tpt,4035182000000000099,INR,0.00,23126.00,0.00,0.00,0.00,23126.00,23126.00,VINOD,TIRUPATI,TUESDAY
4035182000000197785,"Ram murthy Naidu Puncture Shop , Puthalapattu",4035182000000000099,INR,0.00,0.00,0.00,4513.00,0.00,4513.00,4513.00,NETHAJI,PUTHALAPATTU,TUESDAY
4035182000029961770,"RAMA DEVI MOTORS , BANGARUPALYAM",4035182000000000099,INR,0.00,9950.00,0.00,0.00,0.00,9950.00,9950.00,CHIRANJEEVI,BANGARUPALEM,MONDAY
4035182000000181323,Ramdev Auto Mobiles Punganur,4035182000000000099,INR,0.00,44822.00,3842.00,0.00,0.00,48664.00,48664.00,RAJESH,PUNGANUR,WEDNESDAY
4035182000000181411,RAMDEV AUTO MOBILES RENIGUNTA,4035182000000000099,INR,0.00,3459.00,20763.00,40402.00,0.00,64624.00,64624.00,NETHAJI,RENIGUNTA,SATURDAY
4035182000000181489,"RAMDEV AUTO MOBILES,SKHT",4035182000000000099,INR,0.00,0.00,0.00,12138.00,0.00,12138.00,12138.00,NETHAJI,SRIKALAHASTHI,WEDNESDAY
4035182000000181577,"Ramdev Automobiles, MPL",4035182000000000099,INR,0.00,82793.00,0.00,0.00,309.00,83102.00,83102.00,RAJESH,MADANAPALLE,THURSDAY
4035182000032173080,"RAMESH FERTILIZERS, VELIGALLU",4035182000000000099,INR,0.00,8268.00,0.00,0.00,0.00,8268.00,8268.00,RAJESH,MUDIVEDU,TUESDAY
4035182000000238693,"Rameswara Automobiles,Pichatur",4035182000000000099,INR,0.00,46695.00,7049.00,0.00,2240.00,55984.00,55984.00,NETHAJI,PICHATUR,MONDAY
4035182000000181665,"Rasheed Royal Cycle Mart , Ctr",4035182000000000099,INR,0.00,46511.00,3354.00,0.00,0.00,49865.00,49865.00,CHIRANJEEVI,CHITTOOR,TUESDAY
4035182000010042005,RAVANDS CONTROLS LLP,4035182000000000099,INR,0.00,0.00,0.00,0.00,117563.00,117563.00,117563.00,SURESH SIR,CHITTOOR,TUESDAY
4035182000003221902,RIYANSH ENTERPRISES,4035182000000000099,INR,0.00,0.00,0.00,0.00,187004.00,187004.00,187004.00,SRINIVAS,HYDERABAD,MONDAY
4035182000001681028,"RIYAZ AUTO SPARES , MARRIPADU",4035182000000000099,INR,0.00,0.00,0.00,0.00,35154.00,35154.00,35154.00,RAJESH,MADANAPALLE,THURSDAY
4035182000000199301,"RK  AGRI TOOLS , VARADAYAPALEM",4035182000000000099,INR,0.00,0.00,0.00,0.00,46693.96,46693.96,46693.96,NETHAJI,VARADAYAPALEM,FRIDAY
4035182000000181831,Rk Traders  Ctr,4035182000000000099,INR,0.00,0.00,0.00,0.00,2.00,2.00,2.00,CHIRANJEEVI,CHITTOOR,TUESDAY
4035182000003086493,"ROYAL  AUTO MOBILES , CHITTOOR",4035182000000000099,INR,0.00,31001.00,0.00,0.00,0.00,31001.00,31001.00,CHIRANJEEVI,CHITTOOR,TUESDAY
4035182000003028053,"Royal Barium Salts ,  Gajulamandyam",4035182000000000099,INR,0.00,0.00,0.00,0.00,3400.00,3400.00,3400.00,SHAHEEN,GAJULAMANDYAM,TUESDAY
4035182000002161460,ROYAL BISON AUTO RENTALS INDIA  PVT LTD,4035182000000000099,INR,0.00,0.00,0.00,0.00,890.00,890.00,890.00,SHAHEEN,TIRUPATI,TUESDAY
4035182000026304234,"ROYAL TRADERS, MADANAPALLE",4035182000000000099,INR,0.00,0.00,0.00,9917.00,1.00,9918.00,9918.00,RAJESH,MADANAPALLE,THURSDAY
4035182000000181914,"Royal Tyres,Mpl",4035182000000000099,INR,0.00,0.00,0.00,0.00,1.00,1.00,1.00,RAJESH,MADANAPALLE,THURSDAY
4035182000000182002,RR Enterprises  MPL,4035182000000000099,INR,0.00,0.00,0.00,0.00,282708.00,282708.00,282708.00,RAJESH,MADANAPALLE,THURSDAY
4035182000000182090,RR Tyres Palamaner,4035182000000000099,INR,0.00,0.00,0.00,0.00,940.00,940.00,940.00,CHIRANJEEVI,PALAMANER,MONDAY
4035182000000182173,"Ruby Automobiles,Chandragiri (Bajaj)",4035182000000000099,INR,0.00,17990.00,0.00,0.00,0.00,17990.00,17990.00,NETHAJI,CHANDRAGIRI,SATURDAY
